CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST: PASS -- value='n_aligned=417/16384_routing=Reading-B-WIN-route-T1.2-priority' scheme=substrate-IS-multi-branch-B-tensor-canonical-S87-W2-3-second-log-derivative convention=V4-Re-V3-Option-gamma-dispatch-routing-Cell-IV-substrate-distance-2-pole-s4-PLAN-OPERATOR-CORRECTED-PER-USER-2026-05-16 L_max=12 audit_sha256=5895dd87c141bf885f3e34602f828872aa9a7b9841b183ff8b3a441801b9ccaa content_sha256=52e91afecb8dcc3bd274daaac95814b8464d4628b2094f464748af1dddbc0092 schema_version=S87+
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S91-W6-CF-W7-2-CF-50-52-LOCKED-NORM-L_k-1-PRE-NORMALIZATION 3-tuple annotation (S87 schema-v2); bridge identity broken at max_err=4.486e+00 (argmax k=8); plan-prescribed xi_k=Gamma(k+1)/Gamma(1+k/2)^2 yields M_k_norm=1/xi_k = Gamma(1+k/2)^2/Gamma(k+1) which does NOT equal (k+1)/2 closed-form atlas-row identity; substrate-natural xi_k closed form misidentified per plan §W9-5 Field 11 FAIL semantics; carry-forward to S92 substrate-natural xi_k canonical derivation; layer_declared=True per §(ii.A)
S91-CF-36-ALPHA-S-SYMBOL-OVERLOAD-K2-ADVANCEMENT: PASS -- value='selected_candidate=BOTH;k_advance=3;distinct_n_s=11;distinct_w_0=10;bare_n_s_total=2555;bare_w_0_total=1820;regex_calibration_passes=5/5;scan_roots_sha256=f5ee92550a73b088;pinmap_sha256=a372a41b2a7a7c0f' scheme=alpha-s-symbol-overload-K2-advancement-via-second-instance-discovery convention=bare-symbol-citation-without-qualifier-substrate-IS-observable-ambiguity L_max=N/A audit_sha256=27cf2f992b0f79b5b8da51950cfa2e29d04a4eb28ce16fded2b1d986171fb9a3 content_sha256=2ea236fe658444904632fae2153299c60dcac682af8c8b0445da0303765ffdaf schema_version=S87+
# audit_sha256_short=27cf2f992b0f79b5 content_sha256_short=2ea236fe65844490 # S91-CF-36-ALPHA-S-SYMBOL-OVERLOAD-K2-ADVANCEMENT dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-CF-36-ALPHA-S-SYMBOL-OVERLOAD-K2-ADVANCEMENT 3-tuple annotation (S87 schema-v2)
S91-W6-CF-W7-7-CF-53-RE-DISPATCH-UNDER-OPTION-A: FAIL -- value='PRE-REG-INC_blocked_by_R8_corner_classification_audit_extension(stdout_literal_per_slot_results_VII_U_2_corners_I_II_III_IV_ABSENT)_AND_R9_plan_staleness_audit_extension(exit_2_non_zero_argparse_unrecognized_arguments_likely)_AND_CF58_W8_substrate_physics_landing(no_CF-58_PASS_or_INFO_line_in_s91_gate_verdicts_txt)_AND_CF53_original_audit_sha_retrieval(no_CF-53_audit_sha256_line_in_s90_gate_verdicts_txt);r8_passed=False;r8_exit=0;r8_reason=stdout_literal_per_slot_results_VII_U_2_corners_I_II_III_IV_ABSENT;r9_passed=False;r9_exit=2;r9_reason=exit_2_non_zero_argparse_unrecognized_arguments_likely;cf58_passed=False;cf58_n_matches=0;cf58_reason=no_CF-58_PASS_or_INFO_line_in_s91_gate_verdicts_txt;old_audit_sha_passed=False;old_audit_sha_reason=no_CF-53_audit_sha256_line_in_s90_gate_verdicts_txt;old_audit_sha_full_64=None;option_a_supersedes_emission_DEFERRED=True;reason_supersedes_deferred=any_prereq_unmet_under_plan_§W9-6_Field_9;forbidden_emission_under_option_a_class_3=True;refinement_pathway_to_S92=R8_audit_extension_AND_R9_audit_extension_AND_W8_CF-58_substrate_physics_AND_CF-53_original_sha_must_exist;deferred_to_S92=True;plan_routing=session-91-plan-w9.md_§W9-6_Field_6_Step_1-4_+_Field_9_FAIL_PRE-REG-INC;closure_kind=mechanical-lizzi-spectral-functional-theorist-primary-no-substantive-compute;closure_admissibility_per_mechanical-closure-discipline.md=ALL_5_CLAUSES_PASS;after_pattern_compliance=True;absolute_verdict_permanence_preserved=True;no_class_3_post_hoc_editing=True' scheme=option-a-corrective-emission-supersedes-tagged-absolute-verdict-permanence convention=lizzi-spectral-functional-theorist-PRE-REG-INC-conditional-Option-A-deferred L_max=N/A audit_sha256=c312bf78c8edd12acca525fae395eafad9a2e244129c260b972a6ccf011ac037 content_sha256=9a2393312e3b8f00d316db90490401cf7250d1608222c4222e7758ebfb4a762c schema_version=S87+
# audit_sha256_short=c312bf78c8edd12a content_sha256_short=9a2393312e3b8f00 # S91-W6-CF-W7-7-CF-53-RE-DISPATCH-UNDER-OPTION-A dual-SHA companion row (W9a-99 split); PRE-REG-INC per session-91-plan-w9.md §W9-6 Field 9 + Field 6 Step 1-4; deferred to S92+ retry conditional on landings of: [R8_corner_classification_audit_extension(stdout_literal_per_slot_results_VII_U_2_corners_I_II_III_IV_ABSENT),R9_plan_staleness_audit_extension(exit_2_non_zero_argparse_unrecognized_arguments_likely),CF58_W8_substrate_physics_landing(no_CF-58_PASS_or_INFO_line_in_s91_gate_verdicts_txt),CF53_original_audit_sha_retrieval(no_CF-53_audit_sha256_line_in_s90_gate_verdicts_txt)]; required_prereqs: [R8, R9, CF-58, CF-53-original-sha]; closure_script=computations/session-91/s91_w9_cf53_re_dispatch_option_a.py; option_a_supersedes_emission_DEFERRED_pending_all_4_prereqs_landed
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S91-W6-CF-W7-7-CF-53-RE-DISPATCH-UNDER-OPTION-A 3-tuple annotation (S87 schema-v2; mechanical PRE-REG-INC; CONDITIONAL routing predicate; substrate-physics re-evaluation NOT fired)
S91-CF37-AUX-4-(c)compose(d)-SECONDARY-CORRIDOR-PARALLEL-EVALUATION: FAIL -- value='Delta_PARALLEL=1.045538e+00;R_CM_full=7.977596e-04;R_ansatz=3.900000e-04;W3_T1_8_verdict=FAIL;base_sum=1.329598e+02;gamma_prime_at_s4_plus_eps=6.000008e-06;gamma_prime_closed_form_residual=1.26e-06;eps_for_gamma_prime_limit=1e-06;pole_s0=4;PARALLEL_TOL_PASS=0.01;PARALLEL_TOL_INFO=0.1;L_max_truncation_for_image=10;image_sectors=[(0, 0), (0, 1), (1, 0)];image_evcount=112;bot20_at_L10={(0, 0): 8, (0, 1): 6, (1, 0): 6};bot20_match_W3T18=True;composite=FAIL;producing_agent=van-den-dungen-bridge-theorist;OAA_excluded=connes-ncg-theorist,phonon-first-cosmologist;OAA_verified=True;cm_1995_paper_subject_to_oaa=False;evaluator_subject_to_oaa=True;reason=W3 T1.8 composite=FAIL at substrate-physics layer (R_ansatz vs empirical anchor)' scheme=full-connes-moscovici-1995-section-III-4-finite-spectral-triple-residue-cd-compositional convention=VII-AU-FULL-CM-1995-cd-secondary-corridor-PARALLEL-to-W3-T1-8-NON-CONNES L_max=12 audit_sha256=3d6b13d8036155fb6eb2cd6889b6830f9ddf583e521b88d26ba5af7c535c7164 content_sha256=844ad3744d9ac90608c469db4a1a7075af749bb3619d4e2437a5643602d5606a schema_version=S87+
# audit_sha256_short=3d6b13d8036155fb content_sha256_short=844ad3744d9ac906 # S91-CF37-AUX-4-(c)compose(d)-SECONDARY-CORRIDOR-PARALLEL-EVALUATION dual-SHA companion row (W9a-99 split) producing_agent=van-den-dungen-bridge-theorist OAA_excluded=connes-ncg-theorist,phonon-first-cosmologist OAA_verified=True
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-CF37-AUX-4-(c)compose(d)-SECONDARY-CORRIDOR-PARALLEL-EVALUATION 3-tuple annotation (S87 schema-v2)
S91-W6-CF-W7-1-CF-49-FULL-CC-MULTIPLIERS-UPGRADE: FAIL -- value='Delta_FULL=-2.018738e-02_rho_FULL=+1.010091e+00_R_canonical_AF1=1.030902_M_BARE_s3=1.7823e+04_M_FULL_CC_s3=1.8003e+04_a_2_CC=0.0_a_4_CC=-2_M_KK_4_compliance_transition=PARTIAL-POSITIVE-RETAINED' scheme=full-connes-chamseddine-1996-physical-multipliers-spectral-action-pipeline convention=VII-AF-1-OP-PROJ-FULL-CC-MULTIPLIERS-PHYSICAL-substrate-distance-1-pole-s3 L_max=12 audit_sha256=79314db6a6aee05390f34d0a666540eee3ae5fb113273d4f73b2d980434ca2a3 content_sha256=52dd09aaabb1c5dce6d02dbc13b775ec7236f1672ac3af60859c593277c32ddb schema_version=S87+
# audit_sha256_short=79314db6a6aee053 content_sha256_short=52dd09aaabb1c5dc # S91-W6-CF-W7-1-CF-49-FULL-CC-MULTIPLIERS-UPGRADE dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S91-W6-CF-W7-1-CF-49-FULL-CC-MULTIPLIERS-UPGRADE 3-tuple annotation (S87 schema-v2)
# LEVEL_CLASS_PIN=FULL # S91-W6-CF-W7-1-CF-49-FULL-CC-MULTIPLIERS-UPGRADE substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY level-pin compliance (SCHEMATIC -> FULL physical CC multipliers upgrade; PARTIAL-POSITIVE -> POSITIVE compliance class)
# promotion_target=permanent-results-registry.md §VII.AF.1.OP-PROJ compliance_class_transition=PARTIAL-POSITIVE-RETAINED # S91-W6-CF-W7-1-CF-49-FULL-CC-MULTIPLIERS-UPGRADE VII.AF.1.OP-PROJ FULL CC upgrade NOT achieved (composite=FAIL; FULL CC diverges from SCHEMATIC canonical)
S91-HH1-FINITE-ALPHA-FIRST-EXTRACTION: FAIL -- value='alpha_operational_s3=0.110434;alpha_asymptotic_sage_q=0.122026;cross_axis_rel_diff=9.4995e-02;cross_axis_agreement_within_10pct=True;C_HH1=9.117049e+02;norm_HH1_at_L8=2.514660e+02;norm_HH1_at_L10=2.698020e+02;norm_HH1_at_L12=2.831602e+02;norm_canonical_FB=9.763258e+02;tail_FB_bound_L13_to_L100=6.931657e+02;M3C_PETER_WEYL_BLOCK_INDEX=2;M3C_block_name=M_3(C);eta_FB_lower=0.4;cache_ceiling_note=Cross-axis agreement within 10% at L_max=12;downstream_consumer=T2.12_3HeB_cocycle_asymmetry_ratio_substrate_prediction_component' scheme=HH-1-cocycle-norm-L-max-scan-finite-alpha-extraction-on-M3C-Peter-Weyl-block convention=VII-HH1-M3C-substrate-distance-1-pole-s3-FIRST-EXTRACTION L_max=12 audit_sha256=57d15c4671fbcbfe94bc91e2fab02a349abfc5a2c5897e265f62a89595c64531 content_sha256=cde8b5a3fd860bcfd403844e5dfaa80039cff6c1f9b32219157c2d506cce41f9 schema_version=S87+
# audit_sha256_short=57d15c4671fbcbfe content_sha256_short=cde8b5a3fd860bcf # S91-HH1-FINITE-ALPHA-FIRST-EXTRACTION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-HH1-FINITE-ALPHA-FIRST-EXTRACTION 3-tuple annotation (S87 schema-v2; substitution chain Step 5 pre-registers alpha_operational(s=3) > 0 direction at substrate-distance-1 pole)
# LEVEL_CLASS_PIN=FULL MACHINERY_SCOPE_PIN=CACHE-PROJECTION BINDING_AXIS_PIN=substrate-natural-binding # S91-HH1-FINITE-ALPHA-FIRST-EXTRACTION 4-axis pin compliance (FULL substrate-natural Mellin-cone evaluation; CACHE-PROJECTION L_max=12 + Friedrich-Bar tail bound; substrate-natural-binding HH^1 cocycle norm on M_3(C) block)
S91-W2-ALPHA-S-12-14SIGMA-THREE-READINGS: FAIL -- value='pass_count=0;reading_a_PASS=False;reading_b_PASS=False;reading_c_PASS=False;spread_a=2.685698e-02;spread_frac=0.312753;sigma_gap_min_R_star=142.5146;R_star=pauli_villars;alpha_s_b=2.826666e+02;sigma_gap_b=4.218972e+04;alpha_s_C0=0.749002;sigma_gap_c=112.4629;alpha_s_canonical=-0.08587279;alpha_s_obs_plan_pin=-0.0045;sigma_obs_plan_pin=0.0067;sigma_gap_canonical_planck_2018=-12.1452;sigma_gap_canonical_aiola_2020=-13.9957;n_s_FW=0.9561;level_pin=SCHEMATIC;tier_pin=TIER-2;drift_tag=runtime_canonical_path_corrected_from_s90_w7_w7a74_primary_5_anchor_sweep.npz_to_s89_w5_a36_heat_kernel_anchor_sweep_w7a74_primary.npz;drift_corrected=True' scheme=alpha-s-three-reading-discriminator-multi-axis convention=substrate-IS-pole-s3-vs-s4-vs-Mellin-leading-vs-subleading-SCHEMATIC L_max=12 audit_sha256=39d4ffd0fd89a7052a8541672850a2d1014f053a9173f12f566804c3db5546be content_sha256=291c287fe99cb1ecfd0b375967c0ca4602a4f7ad06299766374119f47772f9fe schema_version=S87+
# audit_sha256_short=39d4ffd0fd89a705 content_sha256_short=291c287fe99cb1ec # S91-W2-ALPHA-S-12-14SIGMA-THREE-READINGS dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-W2-ALPHA-S-12-14SIGMA-THREE-READINGS 3-tuple annotation (S87 schema-v2)
# tier_pin=TIER-2 level_pin=SCHEMATIC # S91-W2-ALPHA-S-12-14SIGMA-THREE-READINGS SCHEMATIC level-pin disclosure (per .claude/rules/substrate-first-canonical-sourcing.md §iv K=4 MANDATORY; _spectral_action_regulators.py SCHEMATIC docstring lines 23-30)
S91-W1-14-WODZICKI-BCS-BRIDGE-THEOREM-STAGE-1-CANDIDATE-REGISTRY-LANDING: FAIL -- value='slot_allocated=§VII.BA;slot_plan_named=§VII.AX;res_W_L12=1.7498119758e+05;xi_W_s2=1.0;Delta_BCS_canonical=0.4642547395;delta_emp_abs=1.7498073332e+05;level_3_ratio=3.7690672478e+05;STAGE_1_floor=1e-1;INFO_band_upper=5e-1;stage_1_candidate_tag_present=True;five_anatomy_elements_present=True;three_level_ladder_present=True;element_2_OE_form_compliant=True;element_2_integration_domain=integral_0_to_Lambda_UV_dE;element_2_trace=Tr_M2C;element_2_named_projector=P_BdG_Nambu_Gorkov;element_3_binding_type=substrate-self-consistent_type_i;element_3_binding_axis=SUBSTRATE-NATURAL-BINDING;element_3_bridge_map=layer_functor_F;element_3_bridge_map_scheme_suffix=N/A_no_multi_scheme;element_4_envelope_exponent=2.0;element_4_level_2_sub_class=Level-2-binding_via_F_functor_image;hit_axis_iii_distinct_bridge_map_class=True;hit_axis_iii_not_HKR=True;hit_axis_iii_not_KT_boundary=True;hit_axis_iii_not_CK_pairing=True;HIT_K_counter_pre=1;HIT_K_counter_post=2;single_shot_AFTER_pattern=True;verify_section_landed=True;post_edit_content_sha=8f418a0c98d15e0609142ba907bb91de5a4607eed3b6e63bad915964717f0b84;sectors_used_count=90;total_evcount=166896;abs_lambda_min=8.197411e-01;abs_lambda_max=5.418937e+00;substrate_physics_co_author_cross_citation=volovik_k_floor_RD_vs_Delta_BCS_FI_asymmetry;volovik_k_floor_memory_sha_short=b58d519a20c2c207' scheme=wodzicki-residue-uniqueness-BCS-gap-equation-regulator-invariance-via-layer-functor-F convention=VII-AX-WODZICKI-BCS-STAGE-1-CANDIDATE-substrate-distance-1-pole-Layer-Functor-F-bridge-binding-SUBSTRATE-NATURAL L_max=12 audit_sha256=fe8e0a65b1c1d06d1ac61aadb6414cca61e80834a558cbf5b57a019ea4a0df27 content_sha256=8f418a0c98d15e0609142ba907bb91de5a4607eed3b6e63bad915964717f0b84 schema_version=S87+
# audit_sha256_short=fe8e0a65b1c1d06d content_sha256_short=8f418a0c98d15e06 # S91-W1-14-WODZICKI-BCS-BRIDGE-THEOREM-STAGE-1-CANDIDATE-REGISTRY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-W1-14-WODZICKI-BCS-BRIDGE-THEOREM-STAGE-1-CANDIDATE-REGISTRY-LANDING 3-tuple annotation (S87 schema-v2)
S91-PATI-SALAM-IN-SCOPE-LABORATORY-PILLAR-CANDIDATE-IDENTIFICATION: PASS -- value='hit_C1_distinct_substrate_pillar_PASS=True;hit_C2_distinct_laboratory_pillar_PASS=True;hit_C3_distinct_bridge_map_class_PASS=True;hit_iv_independent_algebraic_envelope_PASS=True;K_counter_advancement=K=2_->_K=3_MANDATORY_(full_conjunction);verdict_class=PASS-MANDATORY;A_K_PS_wedderburn_blocks=['chi_C', 'M_2_L', 'M_2_R', 'M_4_PS'];wedderburn_block_count_A_K_PS=4;new_PS_factors_in_extension=['M_2_R', 'M_4_PS'];candidate_substrate_pillars=['Pillar_VI_CFL_phase', 'Pillar_VII_Volovik_q_theory', 'Pillar_VIII_Landau_Ginzburg_4_component'];candidate_lab_pillars=['Pillar_VIII_Landau_Ginzburg_4_component_QGP', 'Pillar_VII_Volovik_q_theory_superfluid', 'Pillar_VI_CFL_phase_quark_matter'];n_candidate_hosts=3;structurally_distinct_bridge_classes=['delta_Karoubi_Villamayor_K_theory_localization_at_M_4_C_PS', 'zeta_Volovik_q_theory_variational_principle_bridge'];ambiguous_bridge_class_discarded=epsilon_PS_gauge_twisted_HKR;inheritance_morphism_SU3_c_in_SU4_PS_via_lepton_color_unification=True;AZ_class_BDI_persists_via_landau_co_author=True;qtheory_ftheory_equivalence_S45_cited=True;K2_baseline_provenance_INFO=plan_text_cites_T2-36_Wodzicki-BCS_runtime_verifies_VII_AX_OP_PROJ_PBH_band_edge_S91_W5-4;K2_baseline_structurally_correct=True' scheme=pati-salam-extension-laboratory-pillar-candidate-identification-HIT-C1-C2-C3 convention=FWD-C4-Pati-Salam-SU4-PS-extension-VI-VII-VIII-host-candidates-bridge-Karoubi-Villamayor-OR-Volovik-q-theory L_max=N/A_substrate_extension_identification audit_sha256=e16af0bac57fd42dae100d1e8e4dbbb43a97b2f14b8b6301aec97fc7f50f8bae content_sha256=d7ff052ea82317e851c3c19b0d45a510f6f7eb3c9738dd265a377fd70c2fffc0 schema_version=S87+
# audit_sha256_short=e16af0bac57fd42d content_sha256_short=d7ff052ea82317e8 # S91-PATI-SALAM-IN-SCOPE-LABORATORY-PILLAR-CANDIDATE-IDENTIFICATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-PATI-SALAM-IN-SCOPE-LABORATORY-PILLAR-CANDIDATE-IDENTIFICATION 3-tuple annotation (S87 schema-v2)
S91-BRIDGE-MAP-SCHEME-INDEPENDENCE-AUDIT: PASS -- value='reading_A_pass=True;reading_confirmed=A;max_pairwise_diff=0.000000e+00;diff_AC=0.000000e+00;diff_AB=0.000000e+00;diff_CB=0.000000e+00;GV_APS_L12=-1.2081580929e+08;GV_CS_L12=-1.2081580929e+08;GV_BC_L12=-1.2081580929e+08;GV_APS_L5=-40579.1500479788;gv_canonical_pin=-40579.1500479506;cross_pin_residual_L5=2.822e-08;BC_adiabatic_residual=6.121e-13;BC_eta_boundary=0.000e+00;CS_Mellin_drift=6.119e-09;EPS_INDEP=1e-03;L_MAX_PRIMARY=12;L_MAX_CANONICAL_PIN=5;level_pin=FULL;regulator_pin=a_n^{Mellin};binding_axis=canonical-import-binding;machinery_scope=CACHE-PROJECTION-Lmax-12-canonical-anchor-Lmax-5' scheme=gv-heitsch-invariant-three-scheme-secondary-class-evaluation-scheme-independence-audit convention=VII-AQ-three-scheme-APS-1975-Cheeger-Simons-Bismut-Cheeger-independence-Reading-A-vs-B L_max=12 audit_sha256=1fef32c8f88d89f39548f0b086717b7efea8e82f3c015b73c947977f9d573f58 content_sha256=d8deefc5b62aa2f49e53ef6beb5e241507b9f74b7a688d3319d1abb176ffdf07 schema_version=S87+
# audit_sha256_short=1fef32c8f88d89f3 content_sha256_short=d8deefc5b62aa2f4 # S91-BRIDGE-MAP-SCHEME-INDEPENDENCE-AUDIT dual-SHA companion row (W9a-99 split); CF-55 S90 W7-4 axis beta three-scheme A verdict; cross-pillar-bridge-anatomy.md Bridge-map-scheme suffix discipline K=1 SUGGESTION calibration corpus advancement
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-BRIDGE-MAP-SCHEME-INDEPENDENCE-AUDIT 3-tuple annotation (S87 schema-v2); Reading A confirmed at L_max=12; max_pairwise_diff=0.000e+00 vs EPS_INDEP=1e-03; composite=PASS
S91-W1-14-COMPOSITE-BRIDGE-MAP-RDX: FAIL -- value='alpha_composite=-1.518765_C_emp=+4.774911e-04_rho_FULL_s3_at_L12=1.010091_R_canonical_VII_AU=1.030902_Delta_emp_at_L12=2.018738e-02_cross_pin_alpha_s4=+4.100568' scheme=composite-mukhanov-sasaki-HKR-bridge-map-level-2-envelope-derivation convention=VII-AU-composite-MS-HKR-RDX-alternative-to-first-extraction-direct L_max=12 audit_sha256=0da19aba653fa19ddf7bf2178581ec5c767c115e4508dd6e92906e68e6875e1f content_sha256=19365c1fbd1419d777736992fa1ced98a610d3ec228f13ea3bb66a80fdb23ec3 schema_version=S87+
# audit_sha256_short=0da19aba653fa19d content_sha256_short=19365c1fbd1419d7 # S91-W1-14-COMPOSITE-BRIDGE-MAP-RDX dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=BREAKDOWN # S91-W1-14-COMPOSITE-BRIDGE-MAP-RDX 3-tuple annotation (S87 schema-v2; substitution chain Step 5 direction α_composite ≥ min(α_MS, α_HKR) = 2)
# LEVEL_CLASS_PIN=FULL # S91-W1-14-COMPOSITE-BRIDGE-MAP-RDX substrate-first-canonical-sourcing.md §(iv) K=4 MANDATORY level-pin compliance (consumes _pauli_villars_subtraction.py PRIMARY helper; FULL physical PV CC1996 §2.2-2.3 multipliers)
S91-VOLOVIK-S1-V1-NEW-K2-DEFERRED-PENDING-CALIBRATION: FAIL -- value='slot=§VII.AAW;sub_class=REGISTRY-INCOMPLETE-PENDING-FIRST-EXTRACTION;K_pre=1;K_post=2;K_promotion_MANDATORY=3;K2_advancement=K1_SUGGESTION_to_K2_SUGGESTION_via_NEW_distinct_provenance;substrate_IS_observable=HH1_cocycle_norm_phi88_on_M3C_Peter_Weyl_block_at_substrate_distance_3_pole_s5;corner=II_algebra_INVARIANT_spectrum_only_x_s5;element_1_substrate_IS_declared=True;element_2_OE_form_compliant=True;element_3_bridge_map=HKR_substrate_self_consistent_type_i;element_3_binding_axis=SUBSTRATE-NATURAL-BINDING;element_4_envelope=symbolic_only_DEGENERATE_alpha_s5_d4_equals_0;element_5_empirical_anchor=DEFERRED_PENDING_CF_S92_VOLOVIK_S1_V1_LMAX_SCAN_DEGENERATE_POLE;single_shot_AFTER_pattern_OK=True;verify_ok=False;appended_sha256=268a3c1fcc5f4879b311669abed1d1fe4a70b3c67a0dbede15686badcd84e5bb;S90_W1_14_audit_sha_b42d6b8c=True;S90_VII_AV_PROXY_REFINEMENT_marker=True;S90_VII_AU_FIRST_EXTRACTION_marker=True;distinctness_session_wave_S91_W9_vs_S90_W1_14=True;distinctness_algebra_cell_M3C_vs_M2C_BdG_vs_AK=True;distinctness_pole_index_s5_vs_s4_vs_s3=True;plan_slot_named_AZ_runtime_rerouted_to_BB_per_W9_5_W9_9_landings' scheme=deferred-pending-intermediate-verdict-class-K2-advancement-via-NEW-distinct-provenance convention=VII-BB-deferred-pending-sub-class-FIRST-EXTRACTION-STAGE-1-CANDIDATE-volovik-s1-v1 L_max=N/A_registry_landing audit_sha256=3b195443402b065a3ab9587ec52d54fb02960cfd8b5f4e6d51964b14ede28ea8 content_sha256=bd62cd7d9e006be061cd66ed9d11cb14d13e1703660c4c3cad23c2e0c09b2d38 schema_version=S87+
# audit_sha256_short=3b195443402b065a content_sha256_short=bd62cd7d9e006be0 # S91-VOLOVIK-S1-V1-NEW-K2-DEFERRED-PENDING-CALIBRATION dual-SHA companion row (W9a-99 split) K_pre=1 K_post=2 sub_class_tag=REGISTRY-INCOMPLETE-PENDING-FIRST-EXTRACTION new_slot=§VII.BB
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-VOLOVIK-S1-V1-NEW-K2-DEFERRED-PENDING-CALIBRATION 3-tuple annotation (S87 schema-v2; [VERIFY] trigger; substitution-chain Step 5 direction K_post = K_pre + 1 = 2 SUGGESTION via NEW distinct provenance event)
S91-VOLOVIK-S1-V1-NEW-K2-DEFERRED-PENDING-CALIBRATION: FAIL -- value='slot=§VII.AAW;sub_class=REGISTRY-INCOMPLETE-PENDING-FIRST-EXTRACTION;K_pre=1;K_post=2;K_promotion_MANDATORY=3;K2_advancement=K1_SUGGESTION_to_K2_SUGGESTION_via_NEW_distinct_provenance;substrate_IS_observable=HH1_cocycle_norm_phi88_on_M3C_Peter_Weyl_block_at_substrate_distance_3_pole_s5;corner=II_algebra_INVARIANT_spectrum_only_x_s5;element_1_substrate_IS_declared=True;element_2_OE_form_compliant=True;element_3_bridge_map=HKR_substrate_self_consistent_type_i;element_3_binding_axis=SUBSTRATE-NATURAL-BINDING;element_4_envelope=symbolic_only_DEGENERATE_alpha_s5_d4_equals_0;element_5_empirical_anchor=DEFERRED_PENDING_CF_S92_VOLOVIK_S1_V1_LMAX_SCAN_DEGENERATE_POLE;single_shot_AFTER_pattern_OK=True;verify_ok=False;appended_sha256=e622d3de73d0b512b11bcdaa025502a188e78f2863b748711aacfc8c0e92d83b;S90_W1_14_audit_sha_b42d6b8c=True;S90_VII_AV_PROXY_REFINEMENT_marker=True;S90_VII_AU_FIRST_EXTRACTION_marker=True;distinctness_session_wave_S91_W9_vs_S90_W1_14=True;distinctness_algebra_cell_M3C_vs_M2C_BdG_vs_AK=True;distinctness_pole_index_s5_vs_s4_vs_s3=True;plan_slot_named_AZ_runtime_rerouted_to_BB_per_W9_5_W9_9_landings;supersedes=3b195443402b065a3ab9587ec52d54fb02960cfd8b5f4e6d51964b14ede28ea8' scheme=deferred-pending-intermediate-verdict-class-K2-advancement-via-NEW-distinct-provenance convention=VII-BB-deferred-pending-sub-class-FIRST-EXTRACTION-STAGE-1-CANDIDATE-volovik-s1-v1 L_max=N/A_registry_landing audit_sha256=203f8d9bb4ed020de1a08707d46508f2361b06ad687b87f50e5589bd581220bb content_sha256=d3fddf0230a33b4a9de4d0062209673ff5337ba68f199b0320dd2b3941f566ff schema_version=S87+
# audit_sha256_short=203f8d9bb4ed020d content_sha256_short=d3fddf0230a33b4a # S91-VOLOVIK-S1-V1-NEW-K2-DEFERRED-PENDING-CALIBRATION dual-SHA companion row (W9a-99 split) K_pre=1 K_post=2 sub_class_tag=REGISTRY-INCOMPLETE-PENDING-FIRST-EXTRACTION new_slot=§VII.AAW supersedes_short=3b195443402b065a
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S91-VOLOVIK-S1-V1-NEW-K2-DEFERRED-PENDING-CALIBRATION 3-tuple annotation (S87 schema-v2; [VERIFY] trigger; substitution-chain Step 5 direction K_post = K_pre + 1 = 2 SUGGESTION via NEW distinct provenance event)
